doc_name,entity_text,pages
Ley  De Justicia Administrativa De La Cdmx 3.1.Pdf,Secretaría de Administración y Finanzas,44
Ley  Org Del Inst De Planeacion Democratica  Y Prospectiva De La Cdmx 3.2.Pdf,Secretaría de Administración y Finanzas,"3, 4, 7, 13"
Ley  Org Del Inst De Planeacion Democratica  Y Prospectiva De La Cdmx 3.2.Pdf,Secretaría de Gobierno,4
Ley  Org Del Inst De Planeacion Democratica  Y Prospectiva De La Cdmx 3.2.Pdf,Secretaría de Desarrollo Urbano y Vivienda,4
Ley  Org Del Inst De Planeacion Democratica  Y Prospectiva De La Cdmx 3.2.Pdf,Secretaría del Medio Ambiente,4
Ley  Org Del Inst De Planeacion Democratica  Y Prospectiva De La Cdmx 3.2.Pdf,Secretaría de Gestión Integral de Riesgos y Protección Civil,4
Ley  Org Del Inst De Planeacion Democratica  Y Prospectiva De La Cdmx 3.2.Pdf,Contraloría General de la Ciudad de México,12
Ley  Org Del Inst De Planeacion Democratica  Y Prospectiva De La Cdmx 3.2.Pdf,Jefatura de Gobierno de la Ciudad de México,14
Ley Acceso Gratuito Internet Cdmx 1.Pdf,Agencia Digital de Innovación Pública,2
Ley Acceso Gratuito Internet Cdmx 1.Pdf,Secretaría de Seguridad Ciudadana,5
Ley Acceso Gratuito Internet Cdmx 1.Pdf,Jefatura de Gobierno de la Ciudad de México,6
Ley Ambiental De La Cdmx.Pdf,Agencia Digital de Innovación Pública,8
Ley Ambiental De La Cdmx.Pdf,Secretaría del Medio Ambiente,"9, 51"
Ley Ambiental De La Cdmx.Pdf,Jefatura de Gobierno de la Ciudad de México,"9, 10, 54, 112"
Ley Ambiental De La Cdmx.Pdf,Secretaría de Seguridad Ciudadana,"13, 76, 78, 79, 95"
Ley Ambiental De La Cdmx.Pdf,Secretaría de Desarrollo Urbano y Vivienda,"22, 55"
Ley Ambiental De La Cdmx.Pdf,"Secretaría de Educación, Ciencia, Tecnología e Innovación",45
Ley Ambiental De La Cdmx.Pdf,Consejería Jurídica y de Servicios Legales,55
Ley Ambiental De La Cdmx.Pdf,Secretaría de Administración y Finanzas,71
Ley Ambiental De La Cdmx.Pdf,Secretaría de Movilidad,76
Ley Ambiental De La Cdmx.Pdf,Secretaría de Gestión Integral de Riesgos y Protección Civil,"77, 84"
Ley Atn Y Apo A Vict Dein Secuestro 2.1.Pdf,Fiscalía General de Justicia de la Ciudad de México,2
Ley Atn Y Apo A Vict Dein Secuestro 2.1.Pdf,Secretaría de Educación de la Ciudad de México,7
Ley Aust Transp En Remun Prest Y Ejerc De Rec De La Ciudad De Mexico 5.5.Pdf,Jefatura de Gobierno de la Ciudad de México,"4, 5, 42, 45, 65, 69, 74, 75"
Ley Aust Transp En Remun Prest Y Ejerc De Rec De La Ciudad De Mexico 5.5.Pdf,Contraloría General de la Ciudad de México,7
Ley Aust Transp En Remun Prest Y Ejerc De Rec De La Ciudad De Mexico 5.5.Pdf,Secretaría de Administración y Finanzas,"7, 75"
Ley Aust Transp En Remun Prest Y Ejerc De Rec De La Ciudad De Mexico 5.5.Pdf,Secretaría de las Mujeres,12
Ley Banco Adn Para Uso Forense De La Ciudad De Mexico 2.1.Pdf,Fiscalía General de Justicia de la Ciudad de México,"3, 11"
Ley Banco Adn Para Uso Forense De La Ciudad De Mexico 2.1.Pdf,Secretaría de Seguridad Ciudadana,"3, 8"
Ley Banco Adn Para Uso Forense De La Ciudad De Mexico 2.1.Pdf,Secretaría de Gobierno,"3, 8"
Ley Banco Adn Para Uso Forense De La Ciudad De Mexico 2.1.Pdf,Agencia Digital de Innovación Pública,3
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Comisión de Búsqueda de Personas de la Ciudad de México,"2, 3"
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Fiscalía General de Justicia de la Ciudad de México,"3, 7, 20, 21, 37"
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Secretaría de Seguridad Ciudadana,"4, 7, 9, 11, 34, 36"
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Secretaría de Gobierno,"7, 10, 18, 34, 35, 37"
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Secretaría de las Mujeres,7
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Secretaría de Gestión Integral de Riesgos y Protección Civil,7
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Secretaría de Salud de la Ciudad de México,7
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Consejería Jurídica y de Servicios Legales,7
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Agencia Digital de Innovación Pública,"7, 9"
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Secretaría de Administración y Finanzas,37
Ley Busqueda De Personas De La Cdmx 2.4.Pdf,Jefatura de Gobierno de la Ciudad de México,"38, 39, 40"
